pr_id,number,title,agent,state,created_at,closed_at,first_human_feedback_at,num_commits,feedback_to_close_days
3128663211,1155,Refactor mod selection system to use object references instead of selectedIndex,Copilot,closed,2025-06-08 20:07:57+00:00,2025-06-08 21:08:21+00:00,2025-06-08 20:21:19+00:00,5.0,0.03266203703703704
2763678225,1827,Fix circular import in flow module,Devin,closed,2024-12-30 20:43:54+00:00,2024-12-31 04:27:58+00:00,2024-12-30 20:43:57+00:00,8.0,0.3222337962962963
2967129400,3576,Add TODO comment for error handling,Devin,closed,2025-04-02 17:50:13+00:00,2025-04-02 17:51:47+00:00,2025-04-02 17:50:19+00:00,6.0,0.0010185185185185184
3074242664,581,fix(core): Fix command injection vulnerability in git clone,Devin,closed,2025-05-19 15:26:57+00:00,2025-05-19 15:42:30+00:00,2025-05-19 15:26:58+00:00,3.0,0.010787037037037038
2923114353,1079,fix: Cannot delete user from auth table,Devin,closed,2025-03-16 14:53:39+00:00,2025-03-25 14:15:03+00:00,2025-03-16 14:53:45+00:00,1.0,8.973125
3116156914,2408,Upgrade wagmi to 2.15.4,OpenAI_Codex,closed,2025-06-04 03:02:16+00:00,2025-06-04 06:01:03+00:00,2025-06-04 03:02:22+00:00,1.0,0.12408564814814815
2838987433,365,feat: update flag format to use pointer emoji,Devin,closed,2025-02-07 19:58:33+00:00,2025-02-16 16:18:19+00:00,2025-02-07 19:58:34+00:00,3.0,8.847048611111111
3134125694,6229,Add glass theme example,OpenAI_Codex,closed,2025-06-10 15:56:28+00:00,2025-06-13 09:29:41+00:00,2025-06-10 15:56:33+00:00,2.0,2.7313425925925925
3153218899,5396,Add defaultVideoImageFormat and defaultPixelFormat to per-composition render settings,Copilot,closed,2025-06-17 11:53:13+00:00,2025-06-17 14:18:27+00:00,2025-06-17 11:53:16+00:00,4.0,0.10082175925925926
2941651609,56358,fix: remove destination-iceberg changes as requested,Devin,closed,2025-03-24 00:14:30+00:00,2025-03-24 00:22:32+00:00,2025-03-24 00:14:30+00:00,2.0,0.005578703703703704
3203260344,19,Add flexible text formatting support for column names with multiple naming conventions,Copilot,closed,2025-07-04 16:32:35+00:00,2025-07-04 16:36:06+00:00,2025-07-04 16:32:38+00:00,1.0,0.0024074074074074076
3218738651,255102,"Rename ""Rerun All Running Tasks"" to ""Restart All Running Tasks"" for consistency",Copilot,closed,2025-07-10 10:17:16+00:00,2025-07-15 11:52:55+00:00,2025-07-10 10:28:41+00:00,2.0,5.058495370370371
3079520197,4428,Fix dependency dirty flag logic,OpenAI_Codex,closed,2025-05-21 09:13:29+00:00,2025-06-09 11:46:47+00:00,2025-05-21 09:14:09+00:00,2.0,19.10599537037037
3139661974,8463,Add missing registerInlineCompletionItemProvider API to Programmatic Language Features documentation,Copilot,closed,2025-06-12 10:10:20+00:00,2025-06-12 11:29:51+00:00,2025-06-12 10:29:11+00:00,3.0,0.04212962962962963
3147844988,12205,[WIP] Clear clipboard instead of doing nothing when no value is present to copy,Copilot,closed,2025-06-15 17:21:57+00:00,2025-06-19 14:01:24+00:00,2025-06-19 13:58:15+00:00,1.0,0.0021875
3222603070,255356,Verify removal of unwanted sdfsd/test.ipynb file,Copilot,closed,2025-07-11 11:41:36+00:00,2025-07-11 12:47:09+00:00,2025-07-11 11:50:02+00:00,2.0,0.03966435185185185
3070049529,3683,Fix task history copy button to preserve tags,OpenAI_Codex,closed,2025-05-16 23:29:02+00:00,2025-05-26 21:14:25+00:00,2025-05-16 23:29:03+00:00,1.0,9.90650462962963
3219610150,1183,Add Rust program for computing first 10 Fibonacci numbers recursively,Copilot,closed,2025-07-10 14:34:31+00:00,2025-07-14 13:19:45+00:00,2025-07-10 14:39:54+00:00,2.0,3.9443402777777776
3078514459,9464,Add tests for diff view hooks,OpenAI_Codex,closed,2025-05-21 00:24:07+00:00,2025-05-21 14:25:56+00:00,2025-05-21 00:24:11+00:00,1.0,0.5845486111111111
3081228446,19824,Add JSON output to `bun pm ls`,OpenAI_Codex,closed,2025-05-21 19:33:22+00:00,2025-07-20 08:39:21+00:00,2025-05-21 19:33:31+00:00,3.0,59.545717592592595
3223603933,255448,"Track all terminals in terminalAndTaskState, not just Copilot-created ones",Copilot,closed,2025-07-11 16:56:01+00:00,2025-07-11 16:56:08+00:00,2025-07-11 17:23:20+00:00,1.0,-0.01888888888888889
3102795383,202,Add async image loading samples,OpenAI_Codex,closed,2025-05-30 10:20:13+00:00,2025-06-17 21:45:54+00:00,2025-05-30 10:24:35+00:00,2.0,18.473136574074076
3074419224,744,Add WDAC Reporting Dashboard for Event Analysis and Visualization,Copilot,closed,2025-05-19 16:33:09+00:00,2025-05-19 16:36:20+00:00,2025-05-19 16:37:02+00:00,1.0,-0.0004861111111111111
3078862418,1507,Use oapp wire task for aptos example,OpenAI_Codex,closed,2025-05-21 04:30:39+00:00,2025-07-23 22:52:21+00:00,2025-05-30 17:10:18+00:00,1.0,54.23753472222222
3070903485,4616,[Serve] Fix comment typo,OpenAI_Codex,closed,2025-05-17 16:02:55+00:00,2025-05-17 20:07:53+00:00,2025-05-17 16:02:56+00:00,1.0,0.17010416666666667
3201071820,1361,Fix dynamic input cleanup on edge deletion,OpenAI_Codex,closed,2025-07-04 02:09:52+00:00,2025-07-04 05:19:26+00:00,2025-07-04 02:09:53+00:00,1.0,0.13163194444444445
3127173735,381,feat: integrate SuiNS name resolution for wallet accounts,Devin,closed,2025-06-07 15:31:56+00:00,2025-06-16 15:40:43+00:00,2025-06-07 15:31:58+00:00,7.0,9.00607638888889
3177631556,1058,Add categories and options from Paul,Cursor,closed,2025-06-26 03:50:40+00:00,2025-06-26 03:55:50+00:00,2025-06-26 03:50:45+00:00,2.0,0.0035300925925925925
3197065453,1755,Fix base href handling in HTML scraper (ENG-2302),Devin,closed,2025-07-02 20:11:54+00:00,2025-07-02 20:26:27+00:00,2025-07-02 20:11:55+00:00,,0.010092592592592592
2798930478,2550,fix(deps): add ts-node to root package.json for smoke tests,Devin,closed,2025-01-20 10:58:03+00:00,2025-01-20 11:41:02+00:00,2025-01-20 10:58:07+00:00,2.0,0.02980324074074074
3201065177,252,[FEAT] Add custom column order support for long format display,Copilot,closed,2025-07-04 02:03:57+00:00,2025-07-04 07:06:12+00:00,2025-07-04 02:33:27+00:00,3.0,0.18940972222222222
2909510588,4,Remove authentication requirement for Docker registry proxy,Devin,closed,2025-03-11 07:54:37+00:00,2025-03-17 11:12:54+00:00,2025-03-11 07:54:42+00:00,16.0,6.137638888888889
3095585241,1939,Add PostHog event tracking for project deletion,Devin,closed,2025-05-28 00:21:11+00:00,2025-05-28 00:22:02+00:00,2025-05-28 00:21:14+00:00,1.0,0.0005555555555555556
3081523540,5134,Fix typos in comments,OpenAI_Codex,closed,2025-05-21 22:10:12+00:00,2025-05-23 17:34:41+00:00,2025-05-23 17:34:41+00:00,1.0,0.0
3104285334,2052,Move testing utilities to separate package,Devin,closed,2025-05-30 21:09:49+00:00,2025-05-30 21:21:37+00:00,2025-05-30 21:09:50+00:00,2.0,0.00818287037037037
3123070640,11463,Fix removing vector store tools,OpenAI_Codex,closed,2025-06-05 23:45:52+00:00,2025-06-05 23:46:04+00:00,2025-06-05 23:45:54+00:00,1.0,0.00011574074074074075
3076998360,673,Simplify zoom implementation,OpenAI_Codex,closed,2025-05-20 13:16:19+00:00,2025-05-21 13:41:32+00:00,2025-05-20 13:17:08+00:00,2.0,1.0169444444444444
3110295867,345,Remove conditional logic in QuickInvoicesSection to always use amount-based billing,Devin,closed,2025-06-02 13:51:58+00:00,2025-06-05 01:18:00+00:00,2025-06-02 13:52:00+00:00,5.0,2.4763888888888888
2927463862,865,Replace 'session' with 'trace' in SDK Components and Documentation,Devin,closed,2025-03-18 07:32:03+00:00,2025-03-18 07:38:13+00:00,2025-03-18 07:32:08+00:00,4.0,0.004224537037037037
3164924720,196,Refactor Navbar to Shadcn components,OpenAI_Codex,closed,2025-06-21 08:57:37+00:00,2025-06-21 09:23:15+00:00,2025-06-21 08:57:40+00:00,1.0,0.017766203703703704
3017855487,20956,feat: Add skeleton component for event-types/[type] page,Devin,closed,2025-04-24 16:45:13+00:00,2025-04-25 14:05:03+00:00,2025-04-24 16:45:20+00:00,9.0,0.8886921296296296
3101804659,20045,Add TLS session callback test,OpenAI_Codex,closed,2025-05-30 00:52:37+00:00,2025-05-30 01:17:23+00:00,2025-05-30 00:52:45+00:00,1.0,0.017106481481481483
3075857183,115762,[iOS][globalization] Implement CompareInfo.Version for hybrid globalization,Copilot,closed,2025-05-20 06:40:56+00:00,2025-05-22 14:09:59+00:00,2025-05-20 06:51:06+00:00,13.0,2.3047800925925928
3211069935,1383,Refactor AzureApiFactory into shared Octoshift project,Copilot,closed,2025-07-08 05:20:47+00:00,2025-07-08 15:47:26+00:00,2025-07-08 05:32:16+00:00,2.0,0.4271990740740741
2867245861,54185,(do not merge) refactor: Remove custom DNS error handling in favor of CDK implementation,Devin,closed,2025-02-20 20:53:15+00:00,2025-03-01 16:05:12+00:00,2025-02-20 20:53:15+00:00,2.0,8.799965277777778
2914446710,1053,fix: improve URL validation logic to prevent undefined URL errors,Devin,closed,2025-03-12 16:00:26+00:00,2025-03-14 03:05:09+00:00,2025-03-12 16:00:33+00:00,3.0,1.4615277777777778
3091924467,13177,Prebid 10: deprecation warning on getallprebidwinningbids function,OpenAI_Codex,closed,2025-05-26 19:21:56+00:00,2025-05-28 12:21:39+00:00,2025-05-26 19:22:43+00:00,1.0,1.7075925925925926
3124326326,151,plz ignore,OpenAI_Codex,closed,2025-06-06 10:14:05+00:00,2025-06-06 10:14:44+00:00,2025-06-06 10:14:30+00:00,6.0,0.00016203703703703703
2989257623,57579,test(destination-mongodb): Add unit test for batch processing,Devin,closed,2025-04-11 17:16:40+00:00,2025-04-14 18:16:25+00:00,2025-04-11 17:16:41+00:00,17.0,3.0414814814814815
2893197094,6786,chore: remove unused console.log statements,Devin,closed,2025-03-04 07:10:09+00:00,2025-03-04 07:13:27+00:00,2025-03-04 07:10:10+00:00,1.0,0.0022800925925925927
